city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon,continent
Mwene-Ditu,Congo (Kinshasa),-7.0000004,23.4400057,189177,306.7694091796875,33.61940917968752,3793950,1539,1950-07-12T12:00:00.000000000,-7.06502628326416,23.564189910888672,Africa
Ilhéus,Brazil,-14.7800423,-39.0500043,230622,306.763427734375,33.61342773437502,4290152,12028,1954-02-12T15:00:00.000000000,-14.727591514587402,320.818603515625,South America
Sandakan,Malaysia,5.8429625,118.107974,392288,306.7607116699219,33.6107116699219,2893549,7529,1952-07-30T06:00:00.000000000,5.729349613189697,117.98004913330078,Asia
Zürich,Switzerland,47.3819337,8.5480643,1108000,306.7586669921875,33.60866699218752,742996,16315,1955-08-02T12:00:00.000000000,47.41651916503906,8.26229476928711,Europe
Kendu Bay,Kenya,-0.3595788,34.6399939,91248,306.7584228515625,33.60842285156252,3325973,3403,1951-03-02T12:00:00.000000000,-0.3866432309150696,34.691165924072266,Africa
São Mateus,Brazil,-18.7296203,-39.8599807,77117,306.7533874511719,33.6033874511719,4524584,23812,1958-02-24T15:00:00.000000000,-18.66432380676269,320.0785217285156,South America
Dubrovnik,Croatia,42.6609477,18.0913916,36994,306.752197265625,33.60219726562502,918109,7251,1952-06-25T12:00:00.000000000,42.63620376586914,18.185840606689453,Europe
York,United Kingdom,53.9511680622694,-1.0721040586041342,158947,306.7513732910156,33.60137329101565,537638,39828,1963-08-19T15:00:00.000000000,53.88400650024414,358.95751953125,Europe
Leeds,United Kingdom,53.79001663775232,-1.551347711412841,1529000,306.7496032714844,33.5996032714844,545965,39828,1963-08-19T15:00:00.000000000,53.60280990600586,358.7930908203125,Europe
Gardiz,Afghanistan,33.6000537,69.2146276,103601,306.74786376953125,33.59786376953127,1304692,10322,1953-07-14T09:00:00.000000000,33.49736404418945,69.05940246582031,Asia
Putrajaya,Malaysia,2.9325152122667406,101.6950374044619,67964,306.7475891113281,33.59758911132815,3084007,3505,1951-03-15T06:00:00.000000000,2.98769760131836,101.66666412353516,Asia
Bandung,Indonesia,-6.9480834,107.5680667,2394000,306.74517822265625,33.59517822265627,3790317,52009,1967-10-20T06:00:00.000000000,-6.994727611541748,107.62025451660156,Asia
Mangai,Congo (Kinshasa),-4.0396126,19.5300118,37188,306.74444580078125,33.59444580078127,3581563,27659,1959-06-20T12:00:00.000000000,-3.971880435943604,19.568403244018555,Africa
Cristalina,Brazil,-16.7699984,-47.6100245,36531,306.74267578125,33.59267578125002,4417208,14005,1954-10-17T18:00:00.000000000,-16.83655548095703,312.4593200683594,South America
Kovrov,Russia,56.3603699,41.3300248,154224,306.7422180175781,33.59221801757815,467725,19075,1956-07-12T12:00:00.000000000,56.27416229248047,41.09504318237305,Europe
Kaluga,Russia,54.5203788,36.2700236,338978,306.74176025390625,33.59176025390627,519345,39731,1963-08-07T12:00:00.000000000,54.44639587402344,36.17647171020508,Europe
Monrovia,Liberia,6.3145816,-10.7996604,1041000,306.74053955078125,33.59053955078127,2843931,284,1950-02-05T15:00:00.000000000,6.502635955810547,349.3540344238281,Africa
Bensonville,Liberia,6.433299,-10.6000015,4089,306.74053955078125,33.59053955078127,2843931,284,1950-02-05T15:00:00.000000000,6.502635955810547,349.3540344238281,Africa
Nyukzha,Russia,56.5312122,121.613083,10,306.7396545410156,33.58965454101565,460449,4424,1951-07-08T03:00:00.000000000,56.55535888671875,121.6875,Europe
Fort Resolution,Canada,61.1665882,-113.682994,448,306.7369079589844,33.5869079589844,344716,57063,1969-07-13T00:00:00.000000000,61.124778747558594,246.3614501953125,North America
Saranpaul,Russia,64.2504568,60.9700146,2985,306.7358703613281,33.58587036132815,274751,57035,1969-07-09T12:00:00.000000000,64.21792602539062,60.88948822021485,Europe
Sapporo,Japan,43.0769251,141.3380985,2544000,306.7349548339844,33.5849548339844,897474,7616,1952-08-10T03:00:00.000000000,43.19859313964844,141.58209228515625,Asia
Bakal,Russia,54.9458826,58.7958837,26559,306.7330322265625,33.58303222656252,503292,57050,1969-07-11T09:00:00.000000000,55.008785247802734,58.804779052734375,Europe
Makokou,Gabon,0.5670829,12.8665942,17070,306.73162841796875,33.58162841796877,3253943,387,1950-02-18T12:00:00.000000000,0.5975395441055298,12.907523155212402,Africa
Mbabane,eSwatini,-26.3166508,31.1333345,90138,306.7293701171875,33.57937011718752,4942015,5731,1951-12-18T12:00:00.000000000,-26.326889038085938,31.153846740722656,Africa
Dawson Creek,Canada,55.7669694,-120.233266,10802,306.7267761230469,33.5767761230469,484415,16263,1955-07-27T00:00:00.000000000,55.71177291870117,239.81707763671875,North America
Pontianak,Indonesia,-0.0299866,109.3199833,607311,306.72625732421875,33.57625732421877,3296264,1897,1950-08-26T06:00:00.000000000,0.0351493842899799,109.34579467773438,Asia
