city_name,country,city_lat,city_lon,population,max_temp_ctrl,max_temp_ssp,temp_diff,timestamp_ctrl,timestamp_ssp,time_idx_ctrl,time_idx_ssp,cell_idx_ctrl,cell_idx_ssp,lat_ctrl,lon_ctrl,lat_ssp,lon_ssp
Paducah,United States of America,37.0837171,-88.6000031,41317,42.00759277343752,47.92440185546877,5.91680908203125,1950-07-18T18:00:00.000000000,2091-07-20T18:00:00.000000000,1589,33749,1149858,1143800,37.01230239868164,271.4248046875,37.15290069580078,271.4285583496094
Quixadá,Brazil,-4.9699951,-39.0200061,49328,35.06343994140627,40.9793640136719,5.915924072265625,1951-10-22T18:00:00.000000000,2091-11-19T18:00:00.000000000,5277,34725,3658883,3658882,-5.02636194229126,321.0469970703125,-5.02636194229126,320.9728088378906
Jelgava,Latvia,56.6527035,23.7128055,67207,32.6938415527344,38.6077819824219,5.9139404296875,1956-08-05T12:00:00.000000000,2083-08-07T12:00:00.000000000,19267,10515,458010,458010,56.62565612792969,23.6743221282959,56.62565612792969,23.6743221282959
Tuguegarao,Philippines,17.6130967,121.7268746,115105,37.15230712890627,43.06572875976565,5.913421630859375,1951-04-27T06:00:00.000000000,2083-05-19T06:00:00.000000000,3849,9873,2133468,2137603,17.680139541625977,121.62632751464844,17.60984230041504,121.76982879638672
Belomorsk,Russia,64.5252204,34.765826,12165,31.654443359375023,37.56743774414065,5.912994384765625,1952-07-29T09:00:00.000000000,2084-07-30T12:00:00.000000000,7522,13379,267281,267281,64.56941986083984,34.6721305847168,64.56941986083984,34.6721305847168
Waku Kungo,Angola,-11.3595276,15.1199967,12069,33.76210937500002,39.6735778808594,5.911468505859375,1951-02-28T15:00:00.000000000,2081-02-23T12:00:00.000000000,3388,3355,4075404,4079896,-11.353251457214355,15.06678581237793,-11.42354965209961,15.08021354675293
Owen Sound,Canada,44.56523419169317,-80.94466076891213,22625,37.10006103515627,43.01125488281252,5.91119384765625,1968-08-19T18:00:00.000000000,2091-08-22T18:00:00.000000000,54445,34013,848279,848279,44.534271240234375,279.1244201660156,44.534271240234375,279.1244201660156
Karasuk,Russia,53.7273006,78.0218937,28589,38.93572387695315,44.84670410156252,5.910980224609375,1957-06-30T09:00:00.000000000,2091-07-29T09:00:00.000000000,21898,33818,542251,542252,53.67311096191406,77.90786743164062,53.67311096191406,78.08061218261719
Carlsbad,United States of America,32.420565,-104.2282998,25302,42.33611450195315,48.2458435058594,5.90972900390625,1950-06-30T21:00:00.000000000,2090-07-10T21:00:00.000000000,1446,30750,1358606,1358606,32.372581481933594,255.80096435546875,32.372581481933594,255.80096435546875
Ciudad Guzman,Mexico,19.7104106,-103.4600004,92161,32.70171508789065,38.61089477539065,5.9091796875,1960-05-11T18:00:00.000000000,2091-05-26T21:00:00.000000000,30269,33310,2020865,2020865,19.64850616455078,256.5671691894531,19.64850616455078,256.5671691894531
Luebo,Congo (Kinshasa),-5.3495068,21.4100004,35183,34.8989196777344,40.8077331542969,5.9088134765625,1965-08-07T12:00:00.000000000,2090-06-02T12:00:00.000000000,45579,30443,3679063,3674228,-5.377855777740479,21.38245010375977,-5.307557106018066,21.43920516967773
Senmonorom,Cambodia,12.4499971,107.1999997,7944,33.46880493164065,39.37728271484377,5.908477783203125,1958-03-24T06:00:00.000000000,2090-04-22T09:00:00.000000000,24033,30114,2449962,2454391,12.478031158447266,107.15447235107422,12.407732963562012,107.13899230957033
San José del Guaviare,Colombia,2.5699839,-72.6399954,22136,36.04107055664065,41.94802246093752,5.906951904296875,1950-03-12T18:00:00.000000000,2085-03-06T18:00:00.000000000,565,15133,3111466,3111466,2.6362037658691406,287.39373779296875,2.6362037658691406,287.39373779296875
Allende,Mexico,28.3299878,-100.8499789,19636,42.46584472656252,48.37270507812502,5.9068603515625,1964-06-04T21:00:00.000000000,2088-05-21T21:00:00.000000000,42150,24510,1553057,1553057,28.36555290222168,259.17138671875,28.36555290222168,259.17138671875
Yangambi,Congo (Kinshasa),0.770378,24.4300227,35531,36.33565673828127,42.24154052734377,5.9058837890625,1958-02-18T12:00:00.000000000,2085-02-25T12:00:00.000000000,23763,15059,3243909,3243910,0.7381370663642883,24.37205696105957,0.7381370663642883,24.442699432373047
Jaén,Spain,37.7703935,-3.7999854,116400,43.43514404296877,49.34087524414065,5.905731201171875,1950-08-01T15:00:00.000000000,2090-08-07T15:00:00.000000000,1700,30972,1114453,1114453,37.85588836669922,356.2600402832031,37.85588836669922,356.2600402832031
