city_name,country,city_lat,city_lon,population,max_temp_raw,max_temp,cell_idx,time_idx,timestamp,lat,lon
Sirsa,India,29.4903821,75.0299833,181639,327.50408935546875,54.35408935546877,1495400,33330,2091-05-29T09:00:00.000000000,29.490333557128906,74.91329193115234
Mazar-i-Sharif,Afghanistan,36.6999937,67.100028,458151,327.4793701171875,54.32937011718752,1157248,13331,2084-07-24T12:00:00.000000000,36.80140686035156,67.17476654052734
Khujayli,Uzbekistan,42.4047101,59.4516577,60401,327.4745788574219,54.3245788574219,929294,36706,2092-07-24T09:00:00.000000000,42.35500717163086,59.38416290283203
Al-Qatif,Saudi Arabia,26.5196332,50.0115104,368892,327.4093933105469,54.2593933105469,1651208,30802,2090-07-17T09:00:00.000000000,26.397188186645508,49.9009895324707
Termiz,Uzbekistan,37.2329328,67.2729374,177687,327.4050598144531,54.25505981445315,1133034,13346,2084-07-26T09:00:00.000000000,37.36379623413086,67.17131805419922
Gujrat,Pakistan,32.5799868,74.0800154,301506,327.3979797363281,54.24797973632815,1343794,30538,2090-06-14T09:00:00.000000000,32.653778076171875,73.9756088256836
Nukus,Uzbekistan,42.4700033,59.6150069,230006,327.3959655761719,54.2459655761719,929295,36706,2092-07-24T09:00:00.000000000,42.35500717163086,59.51612854003906
Balkh,Afghanistan,36.7501199,66.8997302,179969,327.3871765136719,54.2371765136719,1157247,13331,2084-07-24T12:00:00.000000000,36.80140686035156,67.05650329589844
Zabol,Iran,31.0214514,61.4814563,233968,327.3434143066406,54.19341430664065,1420147,7339,2082-07-06T12:00:00.000000000,31.03690528869629,61.387901306152344
Daşoguz,Turkmenistan,41.8399901,59.9649597,201424,327.33123779296875,54.18123779296877,945731,36706,2092-07-24T09:00:00.000000000,41.9332160949707,60.04360580444336
Al Ayn,United Arab Emirates,24.2304706,55.7399979,408733,327.32049560546875,54.17049560546877,1762106,7203,2082-06-19T12:00:00.000000000,24.288225173950195,55.78274917602539
Glendale,United States of America,33.53543115135483,-112.17449497904157,500000,327.30767822265625,54.15767822265627,1306296,30807,2090-07-18T00:00:00.000000000,33.49736404418945,247.7227783203125
Phoenix,United States of America,33.44832240381263,-112.06736527766587,3551000,327.30767822265625,54.15767822265627,1306296,30807,2090-07-18T00:00:00.000000000,33.49736404418945,247.7227783203125
Dayr az Zawr,Syria,35.3303874,40.1299947,309141,327.2814636230469,54.1314636230469,1224922,16299,2085-07-30T12:00:00.000000000,35.25483322143555,40.22988510131836
Khiwa,Uzbekistan,41.3911286,60.3557369,149751,327.2701110839844,54.1201110839844,967868,36706,2092-07-24T09:00:00.000000000,41.370826721191406,60.517242431640625
Qurghonteppa,Tajikistan,37.8373145,68.7713472,311574,327.2573547363281,54.10735473632815,1112070,36722,2092-07-26T09:00:00.000000000,37.85588836669922,68.76675415039062
Urgentch,Uzbekistan,41.5599813,60.6400089,150110,327.25555419921875,54.10555419921877,965087,36706,2092-07-24T09:00:00.000000000,41.441123962402344,60.47481918334961
Lahore,Pakistan,31.5619174,74.3480789,6577000,327.2484436035156,54.09844360351565,1403462,33330,2091-05-29T09:00:00.000000000,31.388399124145508,74.10501098632812
Al Kharj,Saudi Arabia,24.1555656,47.3120369,298428,327.2358093261719,54.0858093261719,1765774,36731,2092-07-27T12:00:00.000000000,24.217926025390625,47.29787063598633
Tejen,Turkmenistan,37.3786086,60.4960384,67294,327.21551513671875,54.06551513671877,1129969,13010,2084-06-14T09:00:00.000000000,37.4340934753418,60.4388313293457
Taoudenni,Mali,22.6665867,-3.9833592,3019,327.20819091796875,54.05819091796877,1852729,33652,2091-07-08T15:00:00.000000000,22.67135238647461,355.9771423339844
