city_name,country,city_lat,city_lon,population,max_wind_raw,max_wind,cell_idx,time_idx,timestamp,lat,lon,continent
Anuradhapura,Sri Lanka,8.3499929,80.3832999,118302,14.84931755065918,53.45754318237305,2717783,2808,2080-12-17T03:00:00.000000000,8.330404281616211,80.5060043334961,Asia
Dothan,United States of America,31.2234546,-85.3905866,61741,14.846468925476074,53.44728813171387,1415406,13684,2084-09-06T15:00:00.000000000,31.17750358581543,274.6016540527344,North America
Umm al Abid,Libya,27.5170142,15.0333353,300,14.845973014831545,53.44550285339356,1596794,35996,2092-04-26T15:00:00.000000000,27.451669692993164,15.10067081451416,Africa
Laramie,United States of America,41.311366,-105.5905681,26934,14.842308044433594,53.43230895996094,969368,5614,2081-12-02T21:00:00.000000000,41.370826721191406,254.4827575683593,North America
Kherson,Ukraine,46.6325372,32.6006649,320477,14.840489387512209,53.42576179504395,772708,32610,2091-02-28T09:00:00.000000000,46.57293319702149,32.41157531738281,Europe
Moab,United States of America,38.5737036,-109.5491895,5730,14.839116096496582,53.4208179473877,1080985,15430,2085-04-12T21:00:00.000000000,38.629173278808594,250.4081573486328,North America
Maceió,Brazil,-9.6180496,-35.7319203,1186000,14.838854789733888,53.419877243042,3979506,12752,2084-05-13T03:00:00.000000000,-9.80667781829834,324.3144226074219,South America
Hutchinson,United States of America,38.0654918,-97.9234908,44477,14.835566520690918,53.4080394744873,1107710,32490,2091-02-13T09:00:00.000000000,37.99648284912109,262.0161437988281,North America
Nablus,Palestine,32.2214815,35.2544266,215981,14.833138465881348,53.399298477172856,1369795,26410,2089-01-14T09:00:00.000000000,32.09138870239258,35.10869598388672,Asia
Narrogin,Australia,-32.9328878,117.1666361,4238,14.831801414489746,53.39448509216309,5267439,29607,2090-02-18T00:00:00.000000000,-32.93497467041016,117.24264526367188,Oceania
Al Mubarraz,Saudi Arabia,25.4290538,49.5659045,298562,14.831470489501951,53.39329376220703,1702479,15632,2085-05-08T03:00:00.000000000,25.41300392150879,49.43661880493164,Asia
Hofuf,Saudi Arabia,25.3487486,49.5855932,637389,14.831470489501951,53.39329376220703,1702479,15632,2085-05-08T03:00:00.000000000,25.41300392150879,49.43661880493164,Asia
Chegga,Mauritania,25.3804004,-5.7799679,10,14.83144474029541,53.39320106506348,1709301,32677,2091-03-08T18:00:00.000000000,25.34270668029785,354.25323486328125,Africa
